Question,Segment Type,Segment Description,Answer,Count,Percentage
What do you think when an influencer is obviously selling a product?,Mobile,Global results,Is this product cool?,268,0.226
What do you think when an influencer is obviously selling a product?,Mobile,Global results,This is lame,532,0.449
What do you think when an influencer is obviously selling a product?,Mobile,Global results,Get that money! ,293,0.247
What do you think when an influencer is obviously selling a product?,Mobile,Global results,Other (comment) ,91,0.077
What do you think when an influencer is obviously selling a product?,Web,Web,Is this product cool?,0,0.0
What do you think when an influencer is obviously selling a product?,Web,Web,This is lame,0,0.0
What do you think when an influencer is obviously selling a product?,Web,Web,Get that money! ,0,0.0
What do you think when an influencer is obviously selling a product?,Web,Web,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,Gender,Female voters,Is this product cool?,71,0.165
What do you think when an influencer is obviously selling a product?,Gender,Female voters,This is lame,220,0.51
What do you think when an influencer is obviously selling a product?,Gender,Female voters,Get that money! ,100,0.232
What do you think when an influencer is obviously selling a product?,Gender,Female voters,Other (comment) ,40,0.093
What do you think when an influencer is obviously selling a product?,Gender,Male voters,Is this product cool?,197,0.262
What do you think when an influencer is obviously selling a product?,Gender,Male voters,This is lame,311,0.414
What do you think when an influencer is obviously selling a product?,Gender,Male voters,Get that money! ,192,0.256
What do you think when an influencer is obviously selling a product?,Gender,Male voters,Other (comment) ,51,0.068
What do you think when an influencer is obviously selling a product?,University,Vanderbilt University,Is this product cool?,7,0.226
What do you think when an influencer is obviously selling a product?,University,Vanderbilt University,This is lame,15,0.484
What do you think when an influencer is obviously selling a product?,University,Vanderbilt University,Get that money! ,8,0.258
What do you think when an influencer is obviously selling a product?,University,Vanderbilt University,Other (comment) ,1,0.032
What do you think when an influencer is obviously selling a product?,University,"University of California, Berkeley",Is this product cool?,8,0.258
What do you think when an influencer is obviously selling a product?,University,"University of California, Berkeley",This is lame,14,0.452
What do you think when an influencer is obviously selling a product?,University,"University of California, Berkeley",Get that money! ,7,0.226
What do you think when an influencer is obviously selling a product?,University,"University of California, Berkeley",Other (comment) ,2,0.065
What do you think when an influencer is obviously selling a product?,University,Texas Christian University,Is this product cool?,2,0.182
What do you think when an influencer is obviously selling a product?,University,Texas Christian University,This is lame,4,0.364
What do you think when an influencer is obviously selling a product?,University,Texas Christian University,Get that money! ,4,0.364
What do you think when an influencer is obviously selling a product?,University,Texas Christian University,Other (comment) ,1,0.091
What do you think when an influencer is obviously selling a product?,University,University of Missouri,Is this product cool?,4,0.333
What do you think when an influencer is obviously selling a product?,University,University of Missouri,This is lame,2,0.167
What do you think when an influencer is obviously selling a product?,University,University of Missouri,Get that money! ,3,0.25
What do you think when an influencer is obviously selling a product?,University,University of Missouri,Other (comment) ,3,0.25
What do you think when an influencer is obviously selling a product?,University,Emory University,Is this product cool?,4,0.16
What do you think when an influencer is obviously selling a product?,University,Emory University,This is lame,13,0.52
What do you think when an influencer is obviously selling a product?,University,Emory University,Get that money! ,7,0.28
What do you think when an influencer is obviously selling a product?,University,Emory University,Other (comment) ,1,0.04
What do you think when an influencer is obviously selling a product?,University,University of Washington,Is this product cool?,6,0.231
What do you think when an influencer is obviously selling a product?,University,University of Washington,This is lame,14,0.538
What do you think when an influencer is obviously selling a product?,University,University of Washington,Get that money! ,6,0.231
What do you think when an influencer is obviously selling a product?,University,University of Washington,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Purdue University,Is this product cool?,4,0.444
What do you think when an influencer is obviously selling a product?,University,Purdue University,This is lame,2,0.222
What do you think when an influencer is obviously selling a product?,University,Purdue University,Get that money! ,1,0.111
What do you think when an influencer is obviously selling a product?,University,Purdue University,Other (comment) ,2,0.222
What do you think when an influencer is obviously selling a product?,University,Dartmouth College,Is this product cool?,2,0.333
What do you think when an influencer is obviously selling a product?,University,Dartmouth College,This is lame,3,0.5
What do you think when an influencer is obviously selling a product?,University,Dartmouth College,Get that money! ,1,0.167
What do you think when an influencer is obviously selling a product?,University,Dartmouth College,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,Johns Hopkins University,Is this product cool?,7,0.333
What do you think when an influencer is obviously selling a product?,University,Johns Hopkins University,This is lame,10,0.476
What do you think when an influencer is obviously selling a product?,University,Johns Hopkins University,Get that money! ,3,0.143
What do you think when an influencer is obviously selling a product?,University,Johns Hopkins University,Other (comment) ,1,0.048
What do you think when an influencer is obviously selling a product?,University,University of Redlands,Is this product cool?,1,0.2
What do you think when an influencer is obviously selling a product?,University,University of Redlands,This is lame,2,0.4
What do you think when an influencer is obviously selling a product?,University,University of Redlands,Get that money! ,2,0.4
What do you think when an influencer is obviously selling a product?,University,University of Redlands,Other (comment) ,0,0.0
What do you think when an influencer is obviously selling a product?,University,University of Richmond,Is this product cool?,0,0.0
What do you think when an influencer is obviously selling a product?,University,University of Richmond,This is lame,1,1.0
